time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0,0,0,0.3,0,0,0,1,0,0,0,0,0,0,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
0.02,0.000330842,-0.000212429,0.300647,0.00132958,0.000409367,-0.00120829,0.999998,0.032845,-0.0210619,0.0629819,0.246542,0.0825758,-0.224624,0.0103443,0.785206,-1.56777,-0.0112503,0.78517,-1.57186,0.00732093,0.785013,-1.56739,-0.0142552,0.783312,-1.56815,-0.023648,-0.0667599,0.265733,-0.0216472,-0.0685538,0.0609908,-0.174819,-0.0764315,0.284645,-0.171896,-0.161472,0.246562,1,1,1,1,
0.04,0.00130423,-0.000835233,0.30245,0.00454422,0.00166411,-0.00415347,0.99998,0.0642545,-0.0410375,0.115503,0.377238,0.169079,-0.347346,0.00950969,0.781395,-1.55371,-0.0119382,0.781509,-1.56817,-0.000806809,0.780003,-1.55104,-0.0222103,0.774428,-1.55407,-0.0417328,-0.19055,0.702668,-0.0343985,-0.183078,0.184568,-0.406387,-0.250471,0.817394,-0.397751,-0.444174,0.703859,1,1,1,1,
0.06,0.00289145,-0.00184669,0.305198,0.00848582,0.00380843,-0.00781916,0.999926,0.0942285,-0.0599269,0.157564,0.392552,0.26101,-0.367986,0.00916687,0.775355,-1.53371,-0.0119913,0.776199,-1.56192,-0.010046,0.770793,-1.52502,-0.031168,0.76104,-1.53184,-0.0171409,-0.302024,1.00035,-0.00265439,-0.265496,0.312369,-0.461961,-0.460519,1.30087,-0.447889,-0.669404,1.11176,1,1,1,1,
0.08,0.0050638,-0.00322507,0.308682,0.0119937,0.00691102,-0.0111855,0.999842,0.122767,-0.07773,0.189164,0.292288,0.36144,-0.285113,0.0102422,0.767341,-1.51059,-0.0105054,0.769827,-1.55306,-0.0169077,0.756645,-1.49026,-0.0376562,0.744205,-1.50233,0.0537673,-0.400671,1.15589,0.0742951,-0.318575,0.443389,-0.343082,-0.707385,1.73842,-0.324409,-0.841771,1.47568,1,1,1,1,
0.1,0.00779257,-0.00494864,0.312694,0.0138954,0.011069,-0.0132187,0.999755,0.14987,-0.0944468,0.210303,0.0754888,0.472638,-0.0958985,0.013818,0.757683,-1.48737,-0.0065,0.762921,-1.54157,-0.0179291,0.736872,-1.44764,-0.038242,0.724844,-1.46628,0.178787,-0.482883,1.16122,0.20027,-0.345286,0.574464,-0.0510717,-0.988677,2.13078,-0.0292865,-0.968051,1.80223,1,1,1,1,
0.12,0.0110525,-0.00697653,0.317029,0.0134463,0.0160835,-0.013091,0.999695,0.176056,-0.107202,0.22156,-0.126771,0.501739,0.13073,0.0204329,0.746976,-1.466,0.000436087,0.756189,-1.52712,-0.0109017,0.711944,-1.39873,-0.0307584,0.704527,-1.42514,0.330744,-0.535397,1.06828,0.346805,-0.336607,0.722279,0.351371,-1.24639,2.44561,0.374177,-1.01583,2.05721,1,1,1,1,
0.14,0.0148321,-0.00919115,0.321495,0.0116842,0.0205196,-0.0108919,0.999662,0.201842,-0.113121,0.223512,-0.181567,0.354755,0.319972,0.0278102,0.736517,-1.44356,0.00801741,0.75124,-1.50779,0.00157453,0.688458,-1.35686,-0.0179665,0.688179,-1.38386,0.368868,-0.522926,1.12198,0.379066,-0.247443,0.966383,0.623811,-1.17426,2.09336,0.639597,-0.817415,2.06364,1,1,0,1,
0.16,0.0191235,-0.0114558,0.325907,0.0101166,0.0226315,-0.00697554,0.999668,0.227228,-0.112202,0.216159,-0.0849149,0.0330901,0.467318,0.0329212,0.727697,-1.41567,0.0132933,0.74985,-1.48112,0.0178882,0.692166,-1.46804,-0.00370568,0.681965,-1.34891,0.255552,-0.440978,1.39456,0.263792,-0.0695445,1.33387,0.815683,0.18539,-5.55892,0.71304,-0.310674,1.74784,1,1,0,1,
0.18,0.0239186,-0.0136337,0.330079,0.0102986,0.0206954,-0.0017175,0.999731,0.252215,-0.104447,0.199501,0.170167,-0.458799,0.572915,0.0327275,0.721704,-1.37758,0.0133412,0.753606,-1.44438,0.0349378,0.685958,-1.65992,0.00839046,0.692653,-1.32739,-0.00968957,-0.299682,1.90425,0.002397,0.187812,1.83665,0.852479,-0.310393,-9.59415,0.604807,0.534366,1.0757,1,1,0,1,
